TABLE_NAME	COLUMN_NAME	COLUMN_TYPE
books	book_id	int
books	title	varchar(255)
books	author	varchar(255)
books	publisher	varchar(255)
books	publication_year	int
books	total_copies	int
books	available_copies	int
fines	fine_id	int
fines	issue_id	int
fines	user_id	int
fines	amount	decimal(10,2)
fines	status	enum('UNPAID','PAID')
issues	issue_id	int
issues	book_id	int
issues	user_id	int
issues	issue_date	date
issues	return_date	date
issues	status	enum('ISSUED','RETURNED')
notifications	notification_id	int
notifications	message	text
notifications	type	enum('GENERAL','OVERDUE','DUE_REMINDER')
notifications	created_at	timestamp
